Date : 2025-06-18 01:23:56
Directory : c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src
Total : 110 files,  5556 codes, 86 comments, 536 blanks, all 6178 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\user\createUser.js                                  | JavaScript     |          8 |          0 |          3 |         11 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\user\deleteUser.js                                  | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\user\getUser.js                                     | JavaScript     |         17 |          0 |          3 |         20 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\user\updateUser.js                                  | JavaScript     |         34 |          0 |          7 |         41 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\http\user\userSendCode.js                                | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\api\ws\ws.js                                                 | JavaScript     |         36 |          3 |         11 |         50 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\assets\react.svg                                             | XML            |          8 |          0 |          0 |          8 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\BoardCard.jsx                | JavaScript JSX |         60 |          0 |          5 |         65 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\ColorSelector.jsx            | JavaScript JSX |         88 |          1 |          6 |         95 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\FilterForm.jsx               | JavaScript JSX |        168 |         35 |          4 |        207 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\PaginationControl.jsx        | JavaScript JSX |         47 |          0 |          4 |         51 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\SearchBar.jsx                | JavaScript JSX |         22 |          0 |          2 |         24 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\modals\BoardDetailsModal.jsx | JavaScript JSX |        237 |          4 |          9 |        250 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\modals\CreateBoardModal.jsx  | JavaScript JSX |        116 |          0 |          5 |        121 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\modals\CreateTaskModal.jsx   | JavaScript JSX |        108 |          0 |          5 |        113 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\dashboard-components\modals\DeleteBoardModal.jsx  | JavaScript JSX |        108 |          0 |          7 |        115 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\About.jsx                         | JavaScript JSX |         37 |          0 |          2 |         39 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Advantages.jsx                    | JavaScript JSX |         36 |          0 |          2 |         38 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Contacts.jsx                      | JavaScript JSX |        102 |          0 |          5 |        107 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\FAQ.jsx                           | JavaScript JSX |         52 |          0 |          5 |         57 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Features.jsx                      | JavaScript JSX |         62 |          0 |          2 |         64 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Hero.jsx                          | JavaScript JSX |         57 |          0 |          2 |         59 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\HowItWorks.jsx                    | JavaScript JSX |         27 |          0 |          2 |         29 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Partners.jsx                      | JavaScript JSX |         46 |          0 |          1 |         47 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Reviewers.jsx                     | JavaScript JSX |         27 |          0 |          2 |         29 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Security.jsx                      | JavaScript JSX |         59 |          0 |          6 |         65 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\home-components\Slider.jsx                        | JavaScript JSX |         45 |          0 |          2 |         47 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\AnimatedError.jsx                 | JavaScript JSX |         39 |          0 |          4 |         43 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\BackToTop.jsx                     | JavaScript JSX |         30 |          0 |          5 |         35 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\ErrorPage.jsx                     | JavaScript JSX |         25 |          0 |          6 |         31 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Footer.jsx                        | JavaScript JSX |         83 |          0 |          3 |         86 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Header.jsx                        | JavaScript JSX |        108 |          0 |          8 |        116 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Loader.jsx                        | JavaScript JSX |         17 |          0 |          4 |         21 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Page.jsx                          | JavaScript JSX |         16 |          0 |          2 |         18 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\Separator.jsx                     | JavaScript JSX |         19 |          0 |          1 |         20 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\checkbox\FormikCheckbox.jsx       | JavaScript JSX |         34 |          0 |          4 |         38 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\checkbox\SimpleСheckBox.jsx       | JavaScript JSX |         30 |          0 |          2 |         32 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\nav\PrivateRoute.jsx              | JavaScript JSX |         10 |          0 |          4 |         14 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\nav\PublicRoute.jsx               | JavaScript JSX |         10 |          0 |          4 |         14 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\user\DeleteUserModal.jsx          | JavaScript JSX |        180 |          0 |          6 |        186 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\user\LogoutUserModal.jsx          | JavaScript JSX |         83 |          0 |          4 |         87 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\main-components\user\UpdateUserModal.jsx          | JavaScript JSX |        244 |          0 |         10 |        254 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\register-components\RegisterFirstStep.jsx         | JavaScript JSX |        197 |          0 |         10 |        207 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\register-components\RegisterSecondStep.jsx        | JavaScript JSX |         79 |          0 |          4 |         83 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\components\register-components\RegisterThirdStep.jsx         | JavaScript JSX |         25 |          0 |          2 |         27 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\config\blockedPublicPaths.jsx                                | JavaScript JSX |          1 |          0 |          1 |          2 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\config\routes.js                                             | JavaScript     |         76 |          0 |         12 |         88 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\advantages.jsx                                          | JavaScript JSX |         52 |          0 |          2 |         54 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\faqs.jsx                                                | JavaScript JSX |         64 |          0 |          1 |         65 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\filterAndSortData.jsx                                   | JavaScript JSX |         30 |          0 |          5 |         35 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\legalLinks.jsx                                          | JavaScript JSX |          9 |          0 |          1 |         10 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\logos.jsx                                               | JavaScript JSX |        107 |          0 |          1 |        108 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\navLinks.jsx                                            | JavaScript JSX |         12 |          0 |          1 |         13 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\privacy.jsx                                             | JavaScript JSX |         67 |          0 |          1 |         68 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\reviewers.jsx                                           | JavaScript JSX |         98 |          0 |          2 |        100 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\security.jsx                                            | JavaScript JSX |         27 |          0 |          1 |         28 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\team.jsx                                                | JavaScript JSX |         39 |          0 |          3 |         42 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\terms.jsx                                               | JavaScript JSX |         53 |          0 |          2 |         55 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\data\work.jsx                                                | JavaScript JSX |         22 |          0 |          1 |         23 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useAuthTokenRefresh.jsx                                | JavaScript JSX |         18 |          0 |          5 |         23 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useLockScroll.jsx                                      | JavaScript JSX |         21 |          0 |          3 |         24 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useMediaQuery.jsx                                      | JavaScript JSX |         33 |          0 |          8 |         41 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useResponsive.jsx                                      | JavaScript JSX |         17 |          0 |          5 |         22 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\hooks\useSocket.jsx                                          | JavaScript JSX |         24 |          0 |          6 |         30 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\index.css                                                    | PostCSS        |        191 |          6 |         38 |        235 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\main.jsx                                                     | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\DashboardPage.jsx                                      | JavaScript JSX |        236 |          0 |         25 |        261 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\HomePage.jsx                                           | JavaScript JSX |         59 |          0 |          4 |         63 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\LoginPage.jsx                                          | JavaScript JSX |        158 |          0 |          8 |        166 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\PrivacyPage.jsx                                        | JavaScript JSX |         24 |          0 |          5 |         29 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\RegisterPage.jsx                                       | JavaScript JSX |         43 |          0 |          5 |         48 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\ResetPasswordPage.jsx                                  | JavaScript JSX |        197 |          0 |         13 |        210 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\SettingsPage.jsx                                       | JavaScript JSX |         55 |          0 |          6 |         61 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\TermsPage.jsx                                          | JavaScript JSX |         24 |          0 |          6 |         30 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error400.jsx                                    | JavaScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error401.jsx                                    | JavaScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error403.jsx                                    | JavaScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error404.jsx                                    | JavaScript JSX |         13 |          0 |          2 |         15 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\pages\errors\Error500.jsx                                    | JavaScript JSX |         13 |          0 |          3 |         16 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\authStore.js                                           | JavaScript     |          6 |          0 |          4 |         10 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\boardStore.js                                          | JavaScript     |        165 |          4 |         25 |        194 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\modalsStore.js                                         | JavaScript     |         10 |          0 |          5 |         15 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\registerStore.js                                       | JavaScript     |          8 |          0 |          2 |         10 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\taskStore.js                                           | JavaScript     |         47 |          0 |          9 |         56 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\store\userStore.js                                           | JavaScript     |          7 |          0 |          5 |         12 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\color\normalizeColor.js                                | JavaScript     |          3 |          0 |          1 |          4 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\date\dateFormatter.js                                  | JavaScript     |          9 |          0 |          1 |         10 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\filters\boardFilters.js                                | JavaScript     |         27 |          0 |          5 |         32 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\filters\boardSorts.js                                  | JavaScript     |         36 |          0 |          5 |         41 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\responsesHandler\apiResponsesHandler.js                | JavaScript     |         66 |          0 |         11 |         77 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\utils\toast\showToast.js                                     | JavaScript     |         15 |          0 |          2 |         17 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\confirmCodeSchema.js                              | JavaScript     |          6 |          0 |          2 |          8 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\emailSchema.js                                    | JavaScript     |          4 |          0 |          2 |          6 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\loginSchema.js                                    | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\passwordResetSchema.js                            | JavaScript     |         38 |          0 |          6 |         44 |
| c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\летняя практика\TaskFlow\src\validators\registerSchema.js                                 | JavaScript     |         49 |          0 |          8 |         57 |
| Total                                                                                                                                         |                |      5,556 |         86 |        536 |      6,178 |
+-----------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
